area,positive_finding,negative_finding,
10,,1,
11,"2,3,4,5",6,
12,"2,3,4,5,7,8,9,10",,
13,"2,3,4,5",6,
14,"2,3,4,5",6,
1,,"11,12,13",
24a,"4,14,15,16,17,18",,
24b,"4,14,15,16,17,18",,
24c,"4,14,15,16,17,18",,
24d,"4,14,15,16,17,18",,
2,19,"11,12",
3,,"11,12,13",
45a,"7,8,10,20,21,22",,
45b,"7,8,10,20,21",,
46d,"7,8,9,10,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41",,
46v,"7,8,9,10,21,23,24,25,27,30,31,33,34,35,36,37,38,39,40,41",,
5,42,,
7a,"28,29,32,43,44,45,46",47,
8b,"26,48",,
8l,"25,27,30,31,33,35,36,38,45,49,50,51,52,53,54,54",,
8m,"25,27,29,30,31,33,35,36,38,45,48,49,50,51,52,53,54,54",,
8r,"25,27,38,45,49,52,53,54,55",,
9,28,,
9-46d,"5,7,8,9,10,18,21,23,24,25,26,27,28,34,35,36,37,38,39,40,45,48,50,51,53,56,57,58,59,60","61,62",
9-46v,"5,7,8,9,10,18,21,22,23,24,25,26,27,28,34,35,36,37,38,39,40,45,48,50,51,5,56,57,58,59,60","31,32",
Core,63,"64,65,66",
Entorhinal,67,,
F2,"11,48,68",,
F3,"69,70",,
F4,71,,
F5,"71,72,73",,
F6,"69,70",,
F7,"11,59,68,74,75,76",,
LB,65,,
LIP,"18,77,78,79,80,81,82",,
MST,27,47,
MT,,"27,47,62,81,83",
Perirhinal,84,,
SII,"12,13",,
STPc,63,,
STPl,63,,
STPr,63,,
Subiculum,"85,86",,
Temporal Pole,84,87,
TEa-ma,"7,88,89,90,91",,
TEa-mp,"7,88,89,90,91",,
TEad,"7,88,89,90,91,92,93",94,
TEav,"7,84,88,89,90,91,95",,
TEpd,"92,93","65,94",
V1,"96,97","91,98,98",
V2,99,,
V4,"99,100","47,98,101",
VIP,60,,
Superior Colliculus,"102,103,104,105,106,107",,
MD nucl. of thalamus,108,,
VPL nucl. of thalamus,,109,
Caudate nucleus,110,,
Hippocampus,"85,86",,
