reference_number,authors,date,title,source,additional_info,link_pubmed
1,"Tsujimoto, S. et al. ",2010,Evaluating self-generated decisions in frontal pole cortex of monkeys,Nature Neuroscience,"13, 120-126",https://www.ncbi.nlm.nih.gov/pubmed/19966838?dopt=Abstract
2,"Rosenkilde, C.E. et al.",1981,Single cell activity in ventral prefrontal cortex of behaving monkeys,Brain Research,"209, 375-394",https://www.ncbi.nlm.nih.gov/pubmed/7225799?dopt=Abstract
3,"Hikosaka, K. and Watanabe, M.",2000,Delay Activity of Orbital and Lateral Prefrontal Neurons of the Monkey Varying with Different Rewards,Cerebral Cortex,"10, 263-271",https://www.ncbi.nlm.nih.gov/pubmed/10731221?dopt=Abstract
4,"Kennerley, S.W. and Wallis, J.D.",2009,Encoding of reward and space during a working memory task in the orbitofrontal cortex and anterior cingulate sulcus,Journal of Neurophysiology,"102, 3352-3364",https://www.ncbi.nlm.nih.gov/pubmed/19776363?dopt=Abstract
5,"Cai, X. and Padoa-Schioppa, C.",2014,Contributions of orbitofrontal and lateral prefrontal cortices to economic choice and the good-to-action transformation,Neuron,"81, 1140-1151",https://www.ncbi.nlm.nih.gov/pubmed/24529981?dopt=Abstract
6,"Tremblay, L. and Schultz, W.",1999,Relative reward preference in primate orbitofrontal cortex,Nature,"398, 704-708",https://www.ncbi.nlm.nih.gov/pubmed/10227292?dopt=Abstract
7,"Freedman, D.J. et al.",2003,A comparison of primate prefrontal and inferior temporal cortices during visual categorization,The Journal of Neuroscience,"23, 5235-5246",https://www.ncbi.nlm.nih.gov/pubmed/12832548?dopt=Abstract
8,"Romanski, L.M. and Goldman-Rakic, P.S.",2002,An auditory domain in primate prefrontal cortex,Nature Neuroscience,"5, 15-16",https://www.ncbi.nlm.nih.gov/pubmed/11753413?dopt=Abstract
9,"Wallis, J.D. et al.",2001,Single neurons in prefrontal cortex encode abstract rules,Nature,"411, 953-956",https://www.ncbi.nlm.nih.gov/pubmed/11418860?dopt=Abstract
10,"Freedman, D.J. et al.",2001,Categorical representation of visual stimuli in the primate prefrontal cortex,Science,"291, 312-316",https://www.ncbi.nlm.nih.gov/pubmed/11209083?dopt=Abstract
11,"Rossi-Pool, R. et al.",2016,Emergence of an abstract categorical code enabling the discrimination of temporally structured tactile stimuli,PNAS,"113, E7966-E7975",https://www.ncbi.nlm.nih.gov/pubmed/27872293?dopt=Abstract
12,"Lemus, L. et al.",2010,Do sensory cortices process more than one sensory modality during perceptual judgments?,Neuron,"67, 335-348",https://www.ncbi.nlm.nih.gov/pubmed/20670839?dopt=Abstract
13,"Salinas, E. et al.",2000,Periodicity and Firing Rate As Candidate Neural Codes for the Frequency of Vibrotactile Stimuli,The Journal of Neuroscience,"20, 5503-5515",https://www.ncbi.nlm.nih.gov/pubmed/10884334?dopt=Abstract
14,"Akkal, D. et al.",2002,Comparison of neuronal activity in the rostral supplementary and cingulate motor areas during a task with cognitive and motor demands,European Journal of Neuroscience,"15, 887-904",https://www.ncbi.nlm.nih.gov/pubmed/11906531?dopt=Abstract
15,"Isomura, Y. et al.",2003,"Neural coding of ""attention for action"" and ""response selection"" in primate anterior cingulate cortex",The Journal of Neuroscience,"23, 8002-8012",https://www.ncbi.nlm.nih.gov/pubmed/12954861?dopt=Abstract
16,"Procyk, E. and Joseph, J.P.",2001,Characterization of serial order encoding in the monkey anterior cingulate sulcus,European Journal of Neuroscience,"14, 1041-1046",https://www.ncbi.nlm.nih.gov/pubmed/11595043?dopt=Abstract
17,"Niki, H. and Watanabe, M.",1976,Prefrontal unit activity and delayed response: Relation to cue location versus direction of response,Brain Research,"105, 79-88",https://www.ncbi.nlm.nih.gov/pubmed/1252960?dopt=Abstract
18,"Bernacchia, A. et al.",2011,A reservoir of time constants for memory traces in cortical neurons,Nature Neuroscience,"14, 366-372",https://www.ncbi.nlm.nih.gov/pubmed/21317906?dopt=Abstract
19,"Zhou, Y.D. and Fuster, J.M.",1996,Mnemonic neuronal activity in somatosensory cortex,PNAS,"93, 10533-10537",https://www.ncbi.nlm.nih.gov/pubmed/8927629?dopt=Abstract
20,"Romo, R. et al.",1999,Neuronal correlates of parametric working memory in the prefrontal cortex,Nature,"399, 470-473",https://www.ncbi.nlm.nih.gov/pubmed/10365959?dopt=Abstract
21,"Hwang, J. and Romanski, L.M.",2015,Prefrontal neuronal responses during audiovisual mnemonic processing,The Journal of Neuroscience,"35, 960-971",https://www.ncbi.nlm.nih.gov/pubmed/25609614?dopt=Abstract
22,"Miller, E.K. et al.",1996,Neural mechanisms of visual working memory in prefrontal cortex of the macaque,Journal of Neurosience,"16, 5154-5167",https://www.ncbi.nlm.nih.gov/pubmed/8756444?dopt=Abstract
23,"Fuster, J.M. and Alexander, G.E.",1971,Neuron activity related to short-term memory,Science,"173, 652-654",https://www.ncbi.nlm.nih.gov/pubmed/4998337?dopt=Abstract
24,"Kubota, K. and Niki, H.",1971,Prefrontal cortical unit activity and delayed alternation performance in monkeys,Journal of Neurophysiology,"34, 337-347",https://www.ncbi.nlm.nih.gov/pubmed/4997822?dopt=Abstract
25,"Markowitz, D.A. et al.",2015,Multiple component networks support working memory in prefrontal cortex,PNAS,"112, 11084-11089",https://www.ncbi.nlm.nih.gov/pubmed/26283366?dopt=Abstract
26,"Wang, L. et al.",2015,Differential roles of delay-period neural activity in the monkey dorsolateral prefrontal cortex in visual-haptic crossmodal working memory,PNAS,"112, E214-9",https://www.ncbi.nlm.nih.gov/pubmed/25540412?dopt=Abstract
27,"Mendoza-Halliday, D. et al.",2014,Sharp emergence of feature-selective sustained activity along the dorsal visual pathway,Nature Neuroscience,"17, 1255-1262",https://www.ncbi.nlm.nih.gov/pubmed/25108910?dopt=Abstract
28,"Crowe, D.A. et al.",2013,Prefrontal neurons transmit signals to parietal neurons that reflect executive control of cognition,Nature Neuroscience,"16, 1484-1491",https://www.ncbi.nlm.nih.gov/pubmed/23995071?dopt=Abstract
29,"Katsuki, F. and Constantinidis, C.",2013,Time course of functional connectivity in primate dorsolateral prefrontal and posterior parietal cortex during working memory,PLoS ONE,"8, e81601",https://www.ncbi.nlm.nih.gov/pubmed/24260582?dopt=Abstract
30,"Qi, X.-L. and Constantinidis, C.",2012,Correlated discharges in the primate prefrontal cortex before and after working memory training,European Journal of Neuroscience,"36, 3538-3548",https://www.ncbi.nlm.nih.gov/pubmed/22934919?dopt=Abstract
31,"Zhou, X. et al.",2011,Cholinergic modulation of working memory activity in primate prefrontal cortex,Journal of Neurophysiology,"106, 2180-2188",https://www.ncbi.nlm.nih.gov/pubmed/21795623?dopt=Abstract
32,"Qi, X.-L. et al.",2010,Comparison of neural activity related to working memory in primate dorsolateral prefrontal and posterior parietal cortex,Frontiers in Systems Neuroscience,"4, 12",https://www.ncbi.nlm.nih.gov/pubmed/20514341?dopt=Abstract
33,"Meyer, T. et al.",2007,Persistent Discharges in the Prefrontal Cortex of Monkeys Naive to Working Memory Tasks,Cerebral Cortex,"17, i70-i76",https://www.ncbi.nlm.nih.gov/pubmed/17726005?dopt=Abstract
34,"Lebedev, M.A. et al.",2004,Representation of attended versus remembered locations in prefrontal cortex,PLoS Biology,"2, e365",https://www.ncbi.nlm.nih.gov/pubmed/15510225?dopt=Abstract
35,"Constantinidis, C. et al.",2001,Coding specificity in cortical microcircuits: a multiple-electrode analysis of primate prefrontal cortex,The Journal of Neuroscience,"21, 3646-3655",https://www.ncbi.nlm.nih.gov/pubmed/11331394?dopt=Abstract
